ZIP,Avg_Listing_Price,Median_Sales_Price,Popularity_Index_Trulia.com
94501,741196,620500,3
94502,648333,575000,34
94536,571442,590000,4
94538,548320,545000,10
94539,1441158,888000,8
94541,455316,375000,21
94542,599572,553000,32
94544,374005,366000,18
94545,366138,402000,35
94546,540629,337500,16
94550,838883,570000,12
94551,584212,483500,17
94552,1375810,1375810,29
94555,498732,635000,20
94560,469965,455000,26
94566,1172192,842000,5
94568,1035501,630500,2
94577,460927,410000,25
94578,369258,355000,31
94579,300885,416500,38
94580,371115,394250,33
94586,1524089,1524089,39
94587,518028,505000,14
94588,931689,717500,15
94601,406871,270750,23
94602,589903,630250,13
94603,244144,202000,30
94605,450489,311000,6
94606,350248,405000,28
94607,555140,360000,19
94608,439515,343000,11
94609,569933,614000,27
94610,840813,580000,7
94611,1067189,730000,1
94612,380472,534000,37
94618,835045,877500,22
94619,536943,430000,9
94621,292067,165000,36
94702,577625,565000,1
94703,576707,737500,1
94704,591642,700000,65
94705,1317588,1062500,45
94706,556474,610000,24
94707,1292629,902000,52
94708,1180101,1180101,1
94709,695500,734000,1
94710,522800,550000,1
